Date,zone,centre,Price
03-03-93,2,NAGPUR,5.65
03-03-93,2,JAIPUR,7.5
03-03-93,2,JODHPUR,7.5
03-03-93,3,GUWAHATI,5.8
03-03-93,3,PATNA,NA
03-03-93,3,SHILLONG,NA
03-03-93,3,AIZAWL,NA
03-03-93,3,BHUBANESHWAR,5
03-03-93,3,CUTTACK,4.8
03-03-93,3,KOLKATA,5.2
03-03-93,3,AGARTALA,NA
03-03-93,4,HYDERABAD,5
03-03-93,4,VIJAYAWADA,5.2
03-03-93,4,BANGALORE,7.5
03-03-93,4,THIRUVANANTHAPURAM,7.3
03-03-93,4,ERNAKULAM,7.2
03-03-93,4,CHENNAI,7
03-03-93,4,MADURAI,5.9
03-03-93,4,PONDICHERRY,7.5
10-03-93,1,HISAR,6.5
10-03-93,1,KARNAL,6
10-03-93,1,SHIMLA,7.5
10-03-93,1,MANDI,7.3
10-03-93,1,SRINAGAR,NA
10-03-93,1,JAMMU,6.5
10-03-93,1,AMRITSAR,NA
10-03-93,1,LUDHIANA,NA
10-03-93,1,LUCKNOW,5
10-03-93,1,KANPUR,5.6
10-03-93,1,CHANDIGARH,NA
10-03-93,1,DELHI,7
10-03-93,2,AHMEDABAD,5.4
10-03-93,2,RAJKOT,6.5
10-03-93,2,PANAJI,6.5
10-03-93,2,BHOPAL,6.4
10-03-93,2,INDORE,6.5
10-03-93,2,MUMBAI,7.4
10-03-93,2,NAGPUR,4.45
10-03-93,2,JAIPUR,7.5
10-03-93,2,JODHPUR,7.5
10-03-93,3,GUWAHATI,5.8
10-03-93,3,PATNA,NA
10-03-93,3,SHILLONG,NA
10-03-93,3,AIZAWL,NA
10-03-93,3,BHUBANESHWAR,5
10-03-93,3,CUTTACK,4.8
10-03-93,3,KOLKATA,5.2
10-03-93,3,AGARTALA,NA
10-03-93,4,HYDERABAD,5.5
10-03-93,4,VIJAYAWADA,5.5
10-03-93,4,BANGALORE,NA
10-03-93,4,THIRUVANANTHAPURAM,NA
10-03-93,4,ERNAKULAM,NA
10-03-93,4,CHENNAI,7
10-03-93,4,MADURAI,5.9
10-03-93,4,PONDICHERRY,6.5
17-03-93,1,HISAR,NA
17-03-93,1,KARNAL,NA
17-03-93,1,SHIMLA,7.5
17-03-93,1,MANDI,7.3
17-03-93,1,SRINAGAR,NA
17-03-93,1,JAMMU,6.5
17-03-93,1,AMRITSAR,NA
17-03-93,1,LUDHIANA,NA
17-03-93,1,LUCKNOW,5
17-03-93,1,KANPUR,5.5
17-03-93,1,CHANDIGARH,6.5
17-03-93,1,DELHI,7
17-03-93,2,AHMEDABAD,5.4
17-03-93,2,RAJKOT,6.25
17-03-93,2,PANAJI,6.5
17-03-93,2,BHOPAL,6.5
17-03-93,2,INDORE,6.5
17-03-93,2,MUMBAI,7.4
17-03-93,2,NAGPUR,5.75
17-03-93,2,JAIPUR,7.5
17-03-93,2,JODHPUR,7.5
17-03-93,3,GUWAHATI,5.8
17-03-93,3,PATNA,NA
17-03-93,3,SHILLONG,NA
17-03-93,3,AIZAWL,NA
17-03-93,3,BHUBANESHWAR,5
17-03-93,3,CUTTACK,4.8
17-03-93,3,KOLKATA,5.2
17-03-93,3,AGARTALA,6.5
17-03-93,4,HYDERABAD,5.5
17-03-93,4,VIJAYAWADA,5.5
17-03-93,4,BANGALORE,7
17-03-93,4,THIRUVANANTHAPURAM,NA
17-03-93,4,ERNAKULAM,NA
17-03-93,4,CHENNAI,7
17-03-93,4,MADURAI,5.9
17-03-93,4,PONDICHERRY,NA
24-03-93,1,HISAR,6.5
24-03-93,1,KARNAL,6
24-03-93,1,SHIMLA,7.5
24-03-93,1,MANDI,7.3
24-03-93,1,SRINAGAR,NA
24-03-93,1,JAMMU,NA
24-03-93,1,AMRITSAR,NA
24-03-93,1,LUDHIANA,NA
24-03-93,1,LUCKNOW,5
24-03-93,1,KANPUR,5.5
24-03-93,1,CHANDIGARH,6.5
24-03-93,1,DELHI,7
24-03-93,2,AHMEDABAD,NA
24-03-93,2,RAJKOT,NA
24-03-93,2,PANAJI,NA
24-03-93,2,BHOPAL,6.25
24-03-93,2,INDORE,6.5
24-03-93,2,MUMBAI,7.4
24-03-93,2,NAGPUR,5.8
24-03-93,2,JAIPUR,7.5
